PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,Standard Type,Standard Relation,Standard Value,Standard Units
103543151,3476,CCC1=C(CN(C1=O)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCC(CC3)C)C,F,=,100,%
103546496,3961,CCCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)CO)Cl,F,=,33,%
103548420,135398744,CCCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCC)C,F,=,40,%
103554720,60823,CC(C)C1=C(C(=C(N1CC[C@H](C[C@H](CC(=O)O)O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4,F,=,14,%
103556029,9815618,C[C@@H](CC1=CC(=CC=C1)C(F)(F)F)N,F,=,85,%
103556970,441207,C[C@@H]1[C@H]([C@H](C[C@@H](O1)O[C@@H]2[C@H](O[C@H](C[C@@H]2O)O[C@@H]3[C@H](O[C@H](C[C@@H]3O)O[C@H]4CC[C@]5([C@@H](C4)CC[C@@H]6[C@@H]5CC[C@]7([C@@]6(CC[C@@H]7C8=CC(=O)OC8)O)C)C)C)C)O)O,F,=,88.5,%
103557031,5284570,CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)O)O[C@H]3C(=O)CC4,F,=,24,%
103557046,4485,CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC,F,=,50,%
103557047,4679,COC1=C(C(=NC=C1)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC(F)F)OC,F,=,77,%
103558372,123606,CN(C)CCC1=CNC2=C1C=C(C=C2)CS(=O)(=O)N3CCCC3,F,=,70,%
103558374,16048570,CC(C)COC[C@@H](CN(CC1=CC=CC=C1)C2=CC=CC=C2)N3CCCC3,F,=,60,%
103558375,11276993,CCC1=CC=CC2=C1OC(=C2)[C@@H](CNC(C)(C)C)O,F,=,46,%
103558376,11448378,CCC1=CC=CC2=C1OC(=C2)[C@H](CNC(C)(C)C)O,F,=,46,%
103558377,688387,C[C@H](C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C,F,=,70,%
103558378,667684,C[C@@H](C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C,F,=,70,%
103558380,443382,CCCCCCCCCCCCCCCC(=O)OC[C@H]([C@@H](C1=CC=C(C=C1)[N+](=O)[O-])O)NC(=O)C(Cl)Cl,F,=,80,%
103558381,639540,CCN(CC)CCC[C@H](C)NC1=C2C=CC(=CC2=NC=C1)Cl,F,=,80,%
103558382,667689,C1=CC=C2C(=C1)C(=O)N[C@]2(C3=CC(=C(C=C3)Cl)S(=O)(=O)N)O,F,=,64,%
103558383,9927232,CC(C)NC[C@H](COC1=CC=C(C=C1)OCCOCC2CC2)O,F,=,100,%
103558384,14550295,CC(C)NC[C@@H](COC1=CC=C(C=C1)OCCOCC2CC2)O,F,=,100,%
103558386,6101829,CN(C)CCC[C@]1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F,F,=,80,%
103558387,146570,CN(C)CCC[C@@]1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F,F,=,80,%
103558387,146570,CN(C)CCC[C@@]1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F,F,=,80,%
103558389,36142239,C1=CC=C(C=C1)C2=N[C@H](C(=O)NC3=C2C=C(C=C3)Cl)C(=O)O,F,=,91,%
103558390,36142247,C1=CC=C(C=C1)C2=N[C@@H](C(=O)NC3=C2C=C(C=C3)Cl)C(=O)O,F,=,91,%
103558391,444810,CCN(CC)CCC[C@@H](C)NC1=C2C=CC(=CC2=NC=C1)Cl,F,=,80,%
103558398,11757268,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]3(N1C(=O)[C@](O3)(C)NC(=O)[C@@H]4CC5[C@@H](CC6=CNC7=CC=CC5=C67)N(C4)C)O,F,=,10,%
103558404,44445687,C[C@@H](CN1CCN(CC1)CCOCCO)CN2C3=CC=CC=C3SC4=CC=CC=C42,F,=,10,%
103558409,28248395,CCN1C[C@@H](C(C1=O)(C2=CC=CC=C2)C3=CC=CC=C3)CCN4CCOCC4,F,=,61,%
103558410,28248394,CCN1C[C@H](C(C1=O)(C2=CC=CC=C2)C3=CC=CC=C3)CCN4CCOCC4,F,=,61,%
103558411,68873,C[C@]12CCC(=O)C=C1[C@@H]3C[C@@H]3[C@@H]4[C@@H]2CC[C@]5([C@H]4[C@@H]6C[C@@H]6[C@@]57CCC(=O)O7)C,F,=,76,%
103558413,77993,CN1CCC[C@@H]1CC2=CNC3=C2C=C(C=C3)CCS(=O)(=O)C4=CC=CC=C4,F,=,62.5,%
103558414,47608,C1CN(CC2=CC(=NN=C21)NN)C(=O)C3=CC=CC=C3,F,=,75,%
103558415,54965,CCN(CC)CC(CNC(=O)C1=C(C2=CC=CC=C2N1C3=CC=CC=C3)OC)O,F,=,70,%
103558416,13791,CCCCC(=O)O[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=C3C=CC(=C4)O)C,F,=,3,%
103558424,636806,CCOC(=O)C1=C(NC(=C([C@H]1C2=C(C(=CC=C2)Cl)Cl)C(=O)OC)C)C,F,=,15,%
103558426,941699,CCOC(=O)C1=C(NC(=C([C@@H]1C2=C(C(=CC=C2)Cl)Cl)C(=O)OC)C)C,F,=,15,%
103558428,68917,COC1=CC=C(C=C1)C2=C(N=C(N2)C3=C(C=C(C=C3)F)F)C4=CC=C(C=C4)OC,F,=,50,%
103558429,65801,CCN[C@H](C)CC1=CC(=CC=C1)C(F)(F)F,F,=,89,%
103558431,41097863,C[C@H](C1=CC(=CC=C1)OC2=CC=CC=C2)C(=O)O,F,=,80,%
103558432,6603850,C1CCN[C@H](C1)CNC(=O)C2=C(C=CC(=C2)OCC(F)(F)F)OCC(F)(F)F,F,=,70,%
103558432,6603850,C1CCN[C@H](C1)CNC(=O)C2=C(C=CC(=C2)OCC(F)(F)F)OCC(F)(F)F,F,=,95,%
103558434,6604414,C1CCN[C@@H](C1)CNC(=O)C2=C(C=CC(=C2)OCC(F)(F)F)OCC(F)(F)F,F,=,95,%
103558436,82153,C[C@]12C[C@@H]([C@H]3[C@H]([C@@H]1C[C@@H]4[C@]2(OC(O4)(C)C)C(=O)CO)C[C@@H](C5=CC(=O)C=C[C@]35C)F)O,F,=,20,%
103558437,9053,C[C@@H]1C[C@H]2[C@@H]3C[C@@H](C4=CC(=O)C=C[C@@]4([C@H]3[C@H](C[C@@]2([C@H]1C(=O)CO)C)O)C)F,F,=,83.5,%
103558439,969463,C[C@@H]1CN(CCN1)C2=C(C=C3C(=C2OC)N(C=C(C3=O)C(=O)O)C4CC4)F,F,=,96,%
103558443,3749,CCCCC1=NC2(CCCC2)C(=O)N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5,F,=,70,%
103558445,13773524,CC1=C([C@H](C(=C(N1)C)C(=O)OC(C)C)C2=CC=CC3=NON=C32)C(=O)OC,F,=,19.5,%
103558447,15130,CC[C@@H](C(C[C@H](C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2)OC(=O)C,F,=,47,%
103558450,44445700,CN1C2=C(C=C(C=C2)Cl)C(=N[C@@H](C1=O)O)C3=CC=CC=C3Cl,F,=,75,%
103558454,20189,C1=CC(=CC=C1C[C@H](C(=O)O)N)N(CCCl)CCCl,F,=,71,%
103558456,44445705,CC1=CC2=C(N1)C=CC=C2OC[C@@H](CNC(C)C)O,F,=,82,%
103558457,44445706,CC1=CC2=C(N1)C=CC=C2OC[C@H](CNC(C)C)O,F,=,82,%
103558459,54675785,CN(C)[C@H]1[C@@H]2[C@H]([C@@H]3C(=C)C4=C(C(=CC=C4)O)C(=C3C(=O)[C@@]2(C(=C(C1=O)C(=O)N)O)O)O)O,F,=,58,%
103558466,1349907,CN1C=CNC1=S,F,=,93,%
103558470,667501,CC[C@]1(C(=O)NC(=O)N(C1=O)C)C2=CC=CC=C2,F,=,73,%
103558472,6451435,CC[C@@]1(C(=O)NC(=O)N(C1=O)C)C2=CC=CC=C2,F,=,73,%
103558476,26388,CS(=O)(=O)C1=CC2=C(C=C1)SC3=CC=CC=C3N2CCCN4CCC(CC4)C(=O)N,F,=,19,%
103558477,154315,CN1CCN2[C@H](C1)C3=CC=CC=C3CC4=CC=CC=C42,F,=,20,%
103558479,13589226,COC1=CC(=C(C=C1)OC)[C@H](CNC(=O)CN)O,F,=,93,%
103558480,6604312,COC1=CC(=C(C=C1)OC)[C@@H](CNC(=O)CN)O,F,=,93,%
103558481,7048578,CC(C)(C)NC[C@H](COC1=CC=CC2=C1C[C@@H]([C@@H](C2)O)O)O,F,=,34,%
103558482,7048712,CC(C)(C)NC[C@@H](COC1=CC=CC2=C1C[C@@H]([C@@H](C2)O)O)O,F,=,34,%
103558492,157133,CC1=C([C@@H](C(=C(N1)C)C(=O)OC(C)C)C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OCCOC,F,=,13,%
103558498,157702,CCOC(=O)C1=C(NC(=C([C@@H]1C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OC)C)C,F,=,16,%
103558505,12895728,C[C@H](CC1=CC(=CC=C1)C(F)(F)F)N,F,=,85,%
103558519,158781,CCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)C(=O)O)C(C)(C)O,F,=,26,%
103558520,667538,CC1=NC=CN1C[C@H]2CCC3=C(C2=O)C4=CC=CC=C4N3C,F,=,62,%
103558521,698135,CC1=NC=CN1C[C@@H]2CCC3=C(C2=O)C4=CC=CC=C4N3C,F,=,62,%
103558530,54675779,C[C@@]1([C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O)O,F,=,58,%
103558546,23611,CCC(C1=CC=CC=C1)(C(=O)N)C(=O)N,F,=,91,%
103558548,12428581,C[C@H](C(C)(C)C)N=C(NC#N)NC1=CC=NC=C1,F,=,57,%
103558549,6603960,C[C@@H](C(C)(C)C)N=C(NC#N)NC1=CC=NC=C1,F,=,57,%
103558550,62867,CN(C)S(=O)(=O)C1=CC2=C(C=C1)SC3=CC=CC=C3N2CCCN4CCC(CC4)CCO,F,=,26,%
103558561,3044368,C[C@H](CCCN)NC1=C2C(=CC(=C1)OC)C=CC=N2,F,=,96,%
103558564,3044369,C[C@@H](CCCN)NC1=C2C(=CC(=C1)OC)C=CC=N2,F,=,96,%
103558574,207838,C1CCC(CC1)[C@](CCN2CCCC2)(C3=CC=CC=C3)O,F,=,75,%
103558576,207840,C1CCC(CC1)[C@@](CCN2CCCC2)(C3=CC=CC=C3)O,F,=,75,%
103558578,667687,C[C@@H](CN1C2=CC=CC=C2SC3=CC=CC=C31)N(C)C,F,=,25,%
103558580,28125497,CCC(=O)C1=CC2=C(C=C1)SC3=CC=CC=C3N2C[C@@H](C)N(C)C,F,=,33,%
103558581,657298,CCCC1=CC(=O)NC(=S)N1,F,=,78,%
103558584,5284613,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@H]2CC[C@@]3([C@H]4CC[C@@]5([C@H](CC[C@@]5([C@@H]4CCC3=C2)O)C6=COC(=O)C=C6)C)C)O)O)O,F,=,7,%
103558659,854499,CC1=CC[C@@H](C[C@H]1O)C(C)(C)O,F,=,72,%
103558667,6101895,CC(C)NC[C@@H](C1=CC=C(C=C1)NS(=O)(=O)C)O,F,=,60,%
103558670,119259,CC(C)NC[C@H](C1=CC=C(C=C1)NS(=O)(=O)C)O,F,=,60,%
103558674,688581,C[C@H](C1=CC=C(C=C1)C(=O)C2=CC=CS2)C(=O)O,F,=,92,%
103558676,688580,C[C@@H](C1=CC=C(C=C1)C(=O)C2=CC=CS2)C(=O)O,F,=,92,%
103558678,5387,CC1=C2C(=CS1)C(=O)NC3=CC=CC=C3N2C(=O)CN4CCN(CC4)C,F,=,54,%
103558688,12179890,CC1=CC(=CC=C1)OC[C@H](CNC(C)C)O,F,=,90,%
103558689,5484727,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N2[C@H]3CCCC[C@@H]3C[C@H]2C(=O)O,F,=,10,%
103558691,135483663,CC(C)[C@@H](C(=O)OC[C@@H](CO)OCN1C=NC2=C1N=C(NC2=O)N)N,F,=,59.4,%
103558692,135564719,CC(C)[C@@H](C(=O)OC[C@H](CO)OCN1C=NC2=C1N=C(NC2=O)N)N,F,=,59.4,%
103558697,11846746,CN(C)C[C@H](C1=CC=C(C=C1)OC)C2(CCCCC2)O,F,=,45,%
103558698,135400189,CCCC1=NC(=C2N1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)CC)OCC)C,F,=,15,%
103558699,12226596,CCOC1=CC=CC=C1OC[C@H]2CNCCO2,F,=,85,%
103558700,12226598,CCOC1=CC=CC=C1OC[C@@H]2CNCCO2,F,=,85,%
103558701,54684598,CC(=O)C[C@H](C1=CC=CC=C1)C2=C(C3=CC=CC=C3OC2=O)O,F,=,93,%
103558702,54688261,CC(=O)C[C@@H](C1=CC=CC=C1)C2=C(C3=CC=CC=C3OC2=O)O,F,=,93,%
103558703,5719,CCN(C1=CC=CC(=C1)C2=CC=NC3=C(C=NN23)C#N)C(=O)C,F,=,30,%
103558704,941731,CN1CCN(CC1)C(=O)O[C@@H]2C3=NC=CN=C3C(=O)N2C4=NC=C(C=C4)Cl,F,=,80,%
103558705,969472,CN1CCN(CC1)C(=O)O[C@H]2C3=NC=CN=C3C(=O)N2C4=NC=C(C=C4)Cl,F,=,80,%
103558706,445143,CC(C)COC[C@H](CN(CC1=CC=CC=C1)C2=CC=CC=C2)N3CCCC3,F,=,60,%
103558714,9932302,C[C@H](CN1CCN(CC1)CCOCCO)CN2C3=CC=CC=C3SC4=CC=CC=C42,F,=,10,%
103558716,66265,CCN[C@@H](C)CC1=CC(=CC=C1)C(F)(F)F,F,=,89,%
103558717,6604558,C[C@@H](C1=CC(=CC=C1)OC2=CC=CC=C2)C(=O)O,F,=,80,%
103558723,1150508,C[C@H]1CN(CCN1)C2=C(C=C3C(=C2OC)N(C=C(C3=O)C(=O)O)C4CC4)F,F,=,96,%
103558742,158617,CC1=C([C@@H](C(=C(N1)C)C(=O)OC(C)C)C2=CC=CC3=NON=C32)C(=O)OC,F,=,19.5,%
103558746,12049213,C1=CC=C(C(=C1)C2=N[C@@H](C(=O)NC3=C2C=C(C=C3)Cl)O)Cl,F,=,93,%
103558748,12049214,C1=CC=C(C(=C1)C2=N[C@H](C(=O)NC3=C2C=C(C=C3)Cl)O)Cl,F,=,93,%
103558751,44445809,CN1C2=C(C=C(C=C2)Cl)C(=N[C@H](C1=O)O)C3=CC=CC=C3Cl,F,=,75,%
103558752,60026,CC(C)C1CCC(CC1)C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)O,F,=,73,%
103558753,157704,CCOC(=O)C1=C(NC(=C([C@H]1C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OC)C)C,F,=,16,%
103558754,12884652,CN1C[C@@H](C2=C(C1)C(=CC=C2)N)C3=CC=CC=C3,F,=,27,%
103558755,51222,C1=CC(=CC=C1C2=CN(N=C2CC(=O)O)C3=CC=C(C=C3)F)Cl,F,=,93.5,%
103558767,25061628,CC1=CC(=CC=C1)OC[C@@H](CNC(C)C)O,F,=,90,%
103558768,9795623,CN(C)C[C@@H](C1=CC=C(C=C1)OC)C2(CCCCC2)O,F,=,45,%
103558877,53708,CC1=C(NC(=O)N1)C(=O)C2=CC=C(C=C2)SC,F,=,53,%
103564594,11622909,CCN(CC)C(=O)C1(CC1CN)C2=CC=CC=C2,F,=,84,%
103619997,37542,C1=NC(=NN1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)C(=O)N,F,=,64,%
103682056,27447,CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)N)SC1)C(=O)O,F,=,90,%
103696081,84029,CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)OC)C)C)O)(C)O,F,=,50,%
103707689,2724385,C[C@@H]1[C@H]([C@H](C[C@@H](O1)O[C@@H]2[C@H](O[C@H](C[C@@H]2O)O[C@@H]3[C@H](O[C@H](C[C@@H]3O)O[C@H]4CC[C@]5([C@@H](C4)CC[C@@H]6[C@@H]5C[C@H]([C@]7([C@@]6(CC[C@@H]7C8=CC(=O)OC8)O)C)O)C)C)C)O)O,F,=,95,%
103770952,6918296,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2C(=O)NC4=C(C=CC(=C4)C(F)(F)F)C(F)(F)F)CC[C@@H]5[C@@]3(C=CC(=O)N5)C,F,=,60,%
103771190,5311101,C[C@@H]1C[C@H]2[C@@H]3C[C@@H](C4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)SCF)O)C)O)F)C)F,F,=,1,%
104234169,126941,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,F,=,70,%
104234169,126941,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,F,=,70,%
104234199,54687,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@H](C[C@H](CC(=O)O)O)O)O,F,=,17,%
104234228,6013,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=O)CC[C@]34C,F,=,7,%
104234233,5284627,CC1(O[C@@H]2CO[C@@]3([C@H]([C@@H]2O1)OC(O3)(C)C)COS(=O)(=O)N)C,F,=,70,%
104234234,54675783,CN(C)[C@H]1[C@@H]2C[C@@H]3CC4=C(C=CC(=C4C(=C3C(=O)[C@@]2(C(=C(C1=O)C(=O)N)O)O)O)O)N(C)C,F,=,97.5,%
104234247,688424,C1=CC=C2C(=C1)C(=O)N[C@@]2(C3=CC(=C(C=C3)Cl)S(=O)(=O)N)O,F,=,64,%
123083206,5523,CN(C)CC1CCCCC1(C2=CC(=CC=C2)OC)O,F,=,75,%
123085720,51039,C1C(=C(N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)N)C(=O)O)Cl,F,=,90,%
124963825,3510,CN1C2CCCC1CC(C2)NC(=O)C3=NN(C4=CC=CC=C43)C,F,=,60,%
124968856,9568614,CC1=CN=C(C(=C1OC)C)C[S@](=O)C2=NC3=C(N2)C=C(C=C3)OC,F,=,90,%
131283791,5360515,C1CC1CN2CC[C@]34[C@@H]5C(=O)CC[C@]3([C@H]2CC6=C4C(=C(C=C6)O)O5)O,F,=,20,%
136926966,135398735,C[C@H]1/C=C/C=C(\C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)[C@](O4)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)/C=N/N5CCN(CC5)C)/C,F,=,88.8,%
160677141,6540428,CCC(CO)NC(=O)[C@H]1CN([C@@H]2CC3=CN(C4=CC=CC(=C34)C2=C1)C)C,F,=,13,%
160687273,20054870,C[N+]1([C@@H]2CC(C[C@H]1[C@H]3[C@@H]2O3)OC(=O)[C@H](CO)C4=CC=CC=C4)CC5CC5.[Br-],F,=,2,%
164136025,72078,C[C@]12C[C@@H]([C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)COP(=O)(O)O)O)CCC4=CC(=O)C=C[C@]34C)O,F,=,82,%
174489643,54675777,C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C(C=CC(=C41)Cl)O)O)O)O)C(=O)N)N(C)C)O,F,=,27.5,%
194134279,3793,CCC(C)N1C(=O)N(C=N1)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)OCC5COC(O5)(CN6C=NC=N6)C7=C(C=C(C=C7)Cl)Cl,F,=,55,%
194161866,5284632,C1CC[N+]2(C1)[C@@H]3CC[C@H]2CC(C3)OC(=O)C(C4=CC=CC=C4)(C5=CC=CC=C5)O,F,=,9.6,%
242566490,5353627,CC(C)N1C2=CC=CC=C2C(=C1/C=C/C(CC(CC(=O)O)O)O)C3=CC=C(C=C3)F,F,=,24,%
242586088,4513,CNC(=C[N+](=O)[O-])NCCSCC1=CSC(=N1)CN(C)C,F,=,70,%
312345422,42066947,CO/N=C/1\CN(C[C@@H]1CN)C2=C(C=C3C(=O)C(=CN(C3=N2)C4CC4)C(=O)O)F,F,=,71,%
494428864,3033924,C[C@H]1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O.C[C@H]1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O.O,F,=,99,%
494428864,3033924,C[C@H]1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O.C[C@H]1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O.O,F,=,97.5,%
